time_s,response
1e-05,3.33444405878e-11
1.50131072891e-05,2.46964738105e-11
2.25393390473e-05,1.87421677051e-11
3.38385515343e-05,1.43256575825e-11
5.08021804691e-05,1.08264913604e-11
7.62698585902e-05,8.00045049661e-12
0.000114504756994,5.75096338243e-12
0.000171907220186,4.01340312804e-12
0.000258086154042,2.71888759941e-12
0.000387467512046,1.7900417394e-12
0.000581709132937,1.14753245321e-12
0.000873326162383,7.18027797215e-13
0.00131113393742,4.39677174065e-13
0.00196841944729,2.64178896055e-13
0.0029552092352,1.56150439926e-13
0.00443668733098,9.10112804336e-14
0.00666084629081,5.24174876528e-14
0.01,2.98879015542e-14
